scene,seq,N_req,N,n_vox,method,param,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0005,-1,18,48022,consensus,0.03,0.3809503977343717,18294,53901,0.45464337961599083,0.25334136474269014,0.3539923721793405,0.16322291461681426,0.29865865197306174,0.21108413574710694,0.31365475019131955,0.6890410196471308,0.43107988562435706,0.6527276702744069,0.8934157065731619,0.7543377431491017,0.043176163602160325
apartment_2,seq_0005,-1,18,48022,keyframe,0.3,0.7144433801174461,34309,53901,0.2719441468795732,0.2582122305907618,0.26507818873516753,0.31496108892710367,0.6128643253371923,0.4160877947621979,0.5237109796263371,0.7471104432199773,0.6157748603756723,0.8365443469643534,0.8638615239049369,0.8499835089527717,0.15138222526844872
apartment_2,seq_0005,-1,18,48022,keyframe,0.6,0.5206571987838907,25003,53901,0.26959434518468267,0.2861317985983607,0.2778630718915217,0.3552373715154182,0.5392849854362628,0.42832731733379525,0.5518137823461184,0.6939203354297694,0.6147616886724395,0.8325000999880015,0.8381106101927608,0.8352959340371802,0.15880312473561015
apartment_2,seq_0005,-1,18,48022,keyframe,1.0,0.37030944150597644,17783,53901,0.24277919607771883,0.28603745905286826,0.26440832756529353,0.41365348928752177,0.5004174319585908,0.45291762820280707,0.6280717539222853,0.6902840392571566,0.6577100195315659,0.8580104594275432,0.8469045101204059,0.8524213122632582,0.16889839867476533
apartment_2,seq_0005,-1,18,48022,tsdf,1.0,1.2581316896422472,60418,53901,0.41447228962423743,0.19118029610080536,0.3028262928625214,0.22193717104174251,0.7051260644514944,0.3376116708778788,0.40297593432420803,0.804678948442515,0.5370180764503739,0.6963156675163031,0.8962913489545649,0.783748536182343,0.12169195806759035
apartment_2,seq_0005,-1,18,48022,tsdf,5.0,1.0043729957102994,48232,53901,0.29616927093577006,0.20721945621348808,0.25169436357462904,0.2698415989384641,0.6881133930724848,0.38766250979676276,0.4857978105821861,0.7874807517485761,0.6008998131167699,0.8117017747553491,0.8881838926921578,0.8482222726071688,0.14338790820045152
apartment_2,seq_0005,-1,18,48022,tsdf,20.0,0.570655116404981,27404,53901,0.19808406161669032,0.4366826479947812,0.31738335480573576,0.3715515983068165,0.5491549321904974,0.44322351588674,0.6373522113560064,0.6311571213892135,0.6342395387189516,0.9281126842796672,0.7615814177844566,0.8366406358334112,0.16857887524518364
apartment_2,seq_0005,-1,18,48022,tsdf,50.0,0.389550622631294,18707,53901,0.17347530785483203,0.7588519119210965,0.46616360988796424,0.4180787940343187,0.42893452811636146,0.42343709489534137,0.697118725610734,0.4964657427505983,0.5799263899116196,0.9508740043833859,0.5990612419064582,0.7350394325518225,0.16220188389337964
apartment_2,seq_0005,-1,18,48022,oracle_frac,0.9,0.8999833409687227,43219,53901,0.23275036772811594,0.20108886124223607,0.216919614485176,0.309724889516185,0.6950705923823306,0.42850643003450517,0.5259955112334853,0.7992430567150888,0.6344491782599254,0.8906499456257665,0.8940279401124284,0.8923357459765817,0.1554092228564749
apartment_2,seq_0005,-1,18,48022,oracle_frac,0.75,0.7499895881054517,36016,53901,0.16981510084595136,0.20706284589422885,0.1884389733700901,0.37166814749000443,0.6950705923823306,0.4843465223292404,0.6311916925810751,0.7992430567150888,0.7053458090274904,1.0,0.8933600489786832,0.9436768769474984,0.18077777274169424
apartment_2,seq_0005,-1,18,48022,oracle_frac,0.5,0.5,24011,53901,0.09942952994832711,0.22331028748691698,0.16136990871762205,0.5574944816958893,0.6950705923823306,0.6187271666143291,0.9467743950689267,0.7992430567150888,0.8667758283415751,1.0,0.8862915344798797,0.9397185093387624,0.24834220603343607
apartment_2,seq_0005,-1,18,48022,oracle_frac,0.25,0.24998958810545166,12005,53901,0.05108261993150262,0.25669668089749764,0.15388965041450015,1.0,0.6912858759577745,0.8174678045676927,1.0,0.7761080499434148,0.8739423820168383,1.0,0.8642511270662881,0.9271831616659203,0.3920713577799802
apartment_2,seq_0005,-1,18,48022,oracle_frac,0.1,0.09999583524218067,4802,53901,0.03127942904380489,0.32127829203903246,0.17627886054141867,1.0,0.5304539804456319,0.6931982107572764,1.0,0.6816942171759337,0.8107231507529373,1.0,0.8305040722806627,0.9074047797620254,0.2778491466324096
apartment_2,seq_0005,4,4,22671,union,0,1.0,22671,37203,0.293220513543423,0.20912362191934097,0.251172067731382,0.3526972784614706,0.5929898126495176,0.4423152119611968,0.537911869789599,0.7574120366637099,0.6290641635086819,0.808918883154691,0.8964868424589415,0.8504546741847357,0.16146978910596455
apartment_2,seq_0005,4,4,22671,support_frac,0.9,0.8999603017070266,20403,37203,0.2592359782207721,0.22170533882844418,0.24047065852460814,0.3806302994657648,0.5819154369271295,0.460226747980554,0.574033230407293,0.7358815149315915,0.6449586810383006,0.8392393275498701,0.878934494530011,0.8586283700409647,0.1695581128533185
apartment_2,seq_0005,4,4,22671,support_frac,0.75,0.7499889726963963,17003,37203,0.22665652240645714,0.22509914801327655,0.22587783520986685,0.41351526201258604,0.5667016100852081,0.4781386067673392,0.6104216902899489,0.7320108593393005,0.6657098804582771,0.8746691760277598,0.8775905168937989,0.8761274112531187,0.17592160522631825
apartment_2,seq_0005,4,4,22671,support_frac,0.5,0.49997794539279256,11335,37203,0.1766103836452542,0.24660853400397645,0.21160945882461532,0.4875165416850463,0.5208450931376502,0.5036300267507515,0.6885752095280105,0.6981695024594791,0.6933391665912328,0.929333921482135,0.8645001747170927,0.8957454194834281,0.182084956944244
apartment_2,seq_0005,4,4,22671,support_frac,0.25,0.24996691808918883,5667,37203,0.14162059185423354,0.46674093240621606,0.3041807621302248,0.5782601023469208,0.3753998333467731,0.45525399133857625,0.756837833068643,0.5691745289358385,0.6497266985753936,0.9632962766896065,0.7396715318657098,0.8368012936474618,0.1470177780474486
apartment_2,seq_0005,4,4,22671,support_frac,0.1,0.09999558907855852,2267,37203,0.10638318853061603,0.8419332137772736,0.4741582011539448,0.7203352448169387,0.19874741284305028,0.31153839122921423,0.8398764887516542,0.30008332661344517,0.44217862295136534,0.9779444199382443,0.4844232991963014,0.6479068925529408,0.09739524348810873
apartment_2,seq_0005,4,4,22671,support_min,2,0.6371576022231044,14445,37203,0.20577191961514718,0.22890264704598343,0.2173372833305653,0.44035998615437866,0.5566755369190657,0.4917329945767711,0.6422291450328833,0.7280864446415611,0.682468094759503,0.8991346486673589,0.8770798053920382,0.8879703020905991,0.18016712141882674
apartment_2,seq_0005,4,4,22671,support_min,3,0.45763309955449694,10375,37203,0.16943706536777822,0.25918563342176965,0.21431134939477392,0.4991807228915663,0.506195736902938,0.5026637562679462,0.7017831325301205,0.6878477542133699,0.6947455705836963,0.9359036144578313,0.8498508184823804,0.8908038396500354,0.17753840015958508
apartment_2,seq_0005,4,4,22671,support_min,4,0.36266596091923603,8222,37203,0.15799568418137488,0.3011462494923223,0.2295709668368486,0.5293116030162978,0.4649625030239497,0.4950547265043925,0.7247628314278765,0.6408622960513937,0.6802352459622982,0.9459985405010947,0.809370212079671,0.8723671743919819,0.167519042437432
