method,N_req,frac,N,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
A_point,16,0.02,15.692307692307692,63060.53846153846,1260.7179487179487,1260.7179487179487,54121.41025641026,0.2072870001451627,1.9300038704074718,1.0686454352763173,0.7900503178448782,0.09006020432478078,0.16131999809352632,0.841176202461684,0.12109039645778709,0.21110790728269274,0.8665186182056437,0.20639908762199988,0.331439004530226,0.044794401379946266
A_point,16,0.05,15.692307692307692,63060.53846153846,3152.5128205128203,3152.5128205128203,54121.41025641026,0.20203492673655837,1.4835024768864655,0.842768701811512,0.719665308344706,0.18154675968004882,0.2889438549113332,0.820460290221965,0.2354372937985866,0.36428419165837855,0.8844324966087159,0.34760210232790567,0.4956386369566242,0.09050271297048476
A_point,16,0.1,15.692307692307692,63060.53846153846,6305.589743589743,6305.589743589743,54121.41025641026,0.2142230565844848,1.0903710606279837,0.6522970586062343,0.6181894320736074,0.2762876377251256,0.3802034464763239,0.769937937111345,0.3609238304286727,0.48886643163902666,0.8894152829816011,0.4940926955164387,0.6306414832209051,0.12816509497542425
A_point,16,0.25,15.692307692307692,63060.53846153846,15764.71794871795,15764.71794871795,54121.41025641026,0.2501066531479064,0.5100980540509796,0.380102353599443,0.4701216662072325,0.42998984881089963,0.446521019498514,0.6651460642573033,0.5526512590577283,0.6007067724060647,0.8699827946833903,0.7117669428957709,0.7799607173093056,0.16034697764602732
A_point,16,0.5,15.692307692307692,63060.53846153846,31530.02564102564,31530.02564102564,54121.41025641026,0.3433243096314656,0.313215261461737,0.3282697855466013,0.3441651629315655,0.5468577338658615,0.42006295950098976,0.5393528552375206,0.6916133933370298,0.6031738460306433,0.8002345765115988,0.8376923071617788,0.8165495434380146,0.1496600354431729
A_point,16,1.0,15.692307692307692,63060.53846153846,63060.53846153846,63060.53846153846,54121.41025641026,0.532921615397774,0.2538431139838598,0.3933823646908169,0.24007467282364567,0.6592772282055015,0.35007304732189215,0.407672791748892,0.7762751667869937,0.5315810145806501,0.6854398864855259,0.8744393591493972,0.7661131591660575,0.11948207901853032
B_argmax,-1,0.02,23.666666666666668,76630.28205128205,1532.076923076923,1532.076923076923,59403.743589743586,0.207388675123199,1.948759811837896,1.0780742434805475,0.7862167103205236,0.09522572643897491,0.1693101692178809,0.8411958905817922,0.12796173647374934,0.2212921115265398,0.8686052211840866,0.21245315048676863,0.3390689022336557,0.049424011143182484
B_argmax,-1,0.05,23.666666666666668,76630.28205128205,3831.076923076923,3831.076923076923,59403.743589743586,0.2013654913364245,1.470691780327812,0.8360286358321182,0.6893377037236077,0.18122241623105514,0.2858757193749069,0.8082578878407813,0.24288700472333416,0.3715825742826213,0.8889925901925164,0.362029701749264,0.5104092480259054,0.09485909723094797
B_argmax,-1,0.1,23.666666666666668,76630.28205128205,7662.589743589743,7662.589743589743,59403.743589743586,0.21411040171263232,1.0573198038649623,0.6357151027887974,0.5791064805493946,0.27013546666191307,0.36660003969243476,0.7492361981397807,0.3631941896999057,0.4868814757281142,0.8928953410162463,0.49828664320290783,0.6362028106899218,0.12758841762574308
B_argmax,-1,0.25,23.666666666666668,76630.28205128205,19157.20512820513,19157.20512820513,59403.743589743586,0.2728776291244702,0.543892519409004,0.4083850742667371,0.42244483634336616,0.41543901739784517,0.4163227963039021,0.6229567395056224,0.5366226072320361,0.5744103226834784,0.8537884721805116,0.7081052435856838,0.7718994801517844,0.14923750130961252
