scene,ranking,N_req,frac,n_steps,N_req,N,seed,frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,support,1,0.1,27.416666666666668,1.0,1.0,1.0,0.1,889.4722222222222,13758.666666666666,0.1289627204276999,1.0884777690299074,0.6087202447288037,0.7283448843885075,0.2105613955308192,0.3231321014083519,0.8385166605850357,0.2967926038898973,0.4338357607999671,0.9508962673381176,0.4563266274351723,0.613026927516915,0.0400258999993369
apartment_2,support,1,0.25,27.416666666666668,1.0,1.0,1.0,0.25,2224.3055555555557,13758.666666666666,0.19686647912021338,0.6937642415549363,0.4453153603375748,0.5751980752843608,0.3419985299246503,0.42343516498039696,0.7152819027947289,0.46806571242613504,0.5595165859167861,0.8961110885655246,0.645741532276983,0.7464711014975105,0.07411809864149696
apartment_2,support,1,0.5,27.416666666666668,1.0,1.0,1.0,0.5,4449.25,13758.666666666666,0.33703497002021027,0.5562262008383406,0.44663058542927536,0.43477637271698977,0.41251771587589875,0.41762048832763377,0.5825005984199244,0.5507092547645498,0.5601814109164421,0.7957468987681254,0.724128002563439,0.7536209352078244,0.09437147779930553
apartment_2,support,1,0.75,27.416666666666668,1.0,1.0,1.0,0.75,6673.833333333333,13758.666666666666,0.4894749737015004,0.5450675811919169,0.5172712774467088,0.35059988889804217,0.43128206555978854,0.380769450076016,0.4907151853248066,0.5654035592838061,0.5180883127080542,0.7048883306748963,0.7301452701010968,0.7099419925724536,0.09446450291045677
apartment_2,support,1,0.9,27.416666666666668,1.0,1.0,1.0,0.8999999999999999,8008.694444444444,13758.666666666666,0.5738642614275538,0.5375676968928818,0.5557159791602178,0.31624496211141895,0.4401532215711661,0.36202551982034303,0.4534528445383923,0.5720561465838145,0.49832066209531906,0.6675446347201265,0.7350206082794529,0.6918113410289142,0.09269852156513839
apartment_2,support,1,1.0,27.416666666666668,1.0,1.0,1.0,1.0,8899.027777777777,13758.666666666666,0.628780821226789,0.5309268223414105,0.5798538217840997,0.29294593438318417,0.4437593177040745,0.34672705178008834,0.42770965092131474,0.5768162509401938,0.4833246280300137,0.6440365309977591,0.7394224883580058,0.6801822588312214,0.08941236879346103
apartment_2,support,2,0.1,27.416666666666668,2.0,2.0,1.0,0.1,1565.0555555555557,21678.277777777777,0.1280124124615725,1.0140791145971737,0.5710457635293731,0.7230626936765102,0.22781670399657392,0.3419296028228453,0.8350814523830009,0.3142081161614956,0.4518141717231868,0.9506264282664834,0.4727298316172277,0.6276911790353265,0.0539430358244443
apartment_2,support,2,0.25,27.416666666666668,2.0,2.0,1.0,0.25,3913.3888888888887,21678.277777777777,0.212166152884924,0.6449332905599597,0.4285497217224419,0.5469470735957138,0.35750352119215173,0.4260092376468043,0.6923664942336816,0.48920406362906604,0.5672927368877408,0.8801150524329627,0.6764229932471728,0.7616246856421,0.09030619158503154
apartment_2,support,2,0.5,27.416666666666668,2.0,2.0,1.0,0.5,7827.333333333333,21678.277777777777,0.3642204068576083,0.5409546898576943,0.45258754835765136,0.40402977283951635,0.4295678184194679,0.4101796040489288,0.5540981231169889,0.5689939340772665,0.5553756028029054,0.7812374708976997,0.7396118349411149,0.7555553575927515,0.10569285493465605
apartment_2,support,2,0.75,27.416666666666668,2.0,2.0,1.0,0.75,11741.0,21678.277777777777,0.5690611802827056,0.5242890577493473,0.5466751190160264,0.3237952974441381,0.45186713360241093,0.3710054030878312,0.46040205013690144,0.5852342169362204,0.5079654508515343,0.6806999518378509,0.7481381937519638,0.7057869734262536,0.10301905373928674
apartment_2,support,2,0.9,27.416666666666668,2.0,2.0,1.0,0.8999999999999999,14089.222222222223,21678.277777777777,0.6754316060394686,0.5171387893313216,0.5962851976853951,0.29033844733490155,0.46187449289262755,0.3504486417557276,0.4219564266998287,0.5941194211799585,0.48585082124549545,0.63958037752538,0.7539943990011144,0.6843971235073815,0.09929662255533572
apartment_2,support,2,1.0,27.416666666666668,2.0,2.0,1.0,1.0,15655.194444444445,21678.277777777777,0.7352083231570824,0.5071084570775795,0.621158390117331,0.27004001777652537,0.46767573596322465,0.3363724628518905,0.39927023884113816,0.601679765089955,0.47232167000175973,0.6196552795111673,0.7608725919117448,0.6751549131606791,0.0956401037054
apartment_2,support,4,0.1,27.416666666666668,4.0,4.0,1.0,0.1,2936.777777777778,34399.305555555555,0.12224275790537814,0.9371044758920828,0.5296736168987305,0.7456145102475591,0.2800433345478572,0.4045899746267996,0.8362693641378832,0.36288840616467843,0.503920506592009,0.9550300083211734,0.5187505251648319,0.6704613258226448,0.08309680403287742
apartment_2,support,4,0.25,27.416666666666668,4.0,4.0,1.0,0.25,7342.694444444444,34399.305555555555,0.2143114489246022,0.573644209715581,0.39397782932009157,0.5392927025287028,0.42355938638189367,0.47180230796327405,0.676627660263368,0.5550237077204959,0.6076365901417977,0.8805339081171742,0.7214078668280366,0.7914427763008909,0.12320045911414598
apartment_2,support,4,0.5,27.416666666666668,4.0,4.0,1.0,0.5,14685.805555555555,34399.305555555555,0.3562462935651777,0.4628808994418908,0.40956359650353424,0.38890296134215185,0.5036823052213515,0.4362755337731593,0.5385217703337082,0.6349128991581814,0.5802188747731427,0.7802390324917644,0.7764692714069089,0.7759931759408578,0.13048728080854105
apartment_2,support,4,0.75,27.416666666666668,4.0,4.0,1.0,0.75,22028.61111111111,34399.305555555555,0.5441829872055486,0.443431262880235,0.4938071250428917,0.302863904409352,0.5248927103452412,0.38144827140663606,0.43839570173340675,0.6504936827260841,0.5206884971587554,0.6691000587456237,0.7853657013849407,0.7190615890475419,0.11855972886460736
