,,,n_steps,n_steps,N_req,N_req,N,N,seed,seed,frac,frac,n_pred,n_pred,n_ref,n_ref,acc,acc,comp,comp,chamfer,chamfer,precision@0.1,precision@0.1,recall@0.1,recall@0.1,f1@0.1,f1@0.1,precision@0.2,precision@0.2,recall@0.2,recall@0.2,f1@0.2,f1@0.2,precision@0.5,precision@0.5,recall@0.5,recall@0.5,f1@0.5,f1@0.5,iou,iou
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
ranking,N_req,frac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,4,0.1,23.666666666666668,10.560988720693754,4.0,0.0,4.0,0.0,1.0,0.8200084103858011,0.1,0.0,2829.4786324786323,525.2482105910958,33477.80341880342,4897.115766623487,0.029462412101703788,0.0044623339823119616,0.3926713735002123,0.1619565437082776,0.21106689280095803,0.08181617971218352,1.0,0.0,0.39020334613392527,0.03994197844277177,0.5601814556640679,0.04147478713831163,1.0,0.0,0.5587589583643483,0.06118761251300528,0.7149646118601126,0.05052358579090349,1.0,0.0,0.7782804424185263,0.07982280198890652,0.8730241836201178,0.051649044448239825,0.17475355559870992,0.017722343292442433
oracle,4,0.25,23.666666666666668,10.560988720693754,4.0,0.0,4.0,0.0,1.0,0.8200084103858011,0.25,0.0,7074.470085470086,1313.0849013483974,33477.80341880342,4897.115766623487,0.05220927867165327,0.014580759049864682,0.3225485625432885,0.14795213266434779,0.1873789206074709,0.07759921142240239,0.9242617665984538,0.11987516886326707,0.5307032169814926,0.06989827630622884,0.6728073778327407,0.08286006073406442,0.9994438756276806,0.0053847345447930305,0.6652231307020013,0.06602611699749664,0.7969444499205746,0.048130913087442086,1.0,0.0,0.8242558769632294,0.07373080703345143,0.9018434721475125,0.04547508802601025,0.2588663394633351,0.06460707313716388
oracle,4,0.5,23.666666666666668,10.560988720693754,4.0,0.0,4.0,0.0,1.0,0.8200084103858011,0.5,0.0,14149.461538461539,2626.1250250539965,33477.80341880342,4897.115766623487,0.11865945013525267,0.047012748238212436,0.27866997556237694,0.14298024677605395,0.1986647128488148,0.0896659238163913,0.5508858301113506,0.1409685423384125,0.5516878329839013,0.08593964854617214,0.5480096300251246,0.10920660363202742,0.8364106092718011,0.1644225892470676,0.7150360637207192,0.0862701060443301,0.767980839122646,0.11644215265377159,0.993281489931267,0.03171897841603747,0.8615776106875842,0.07423081001023724,0.9213756609136552,0.05100396442216031,0.19311789116495026,0.05825651837983202
oracle,4,0.75,23.666666666666668,10.560988720693754,4.0,0.0,4.0,0.0,1.0,0.8200084103858011,0.75,0.0,21224.162393162394,3939.1795202004464,33477.80341880342,4897.115766623487,0.2330034541168604,0.10743379329292403,0.26610410442930377,0.14387085999887445,0.24955377927308212,0.11914443165527566,0.36725780546516257,0.09397939356271733,0.5516878329839013,0.08593964854617214,0.4384719156939302,0.0920790021326786,0.578958668764341,0.13697794282083708,0.7168516738665079,0.08843697133126244,0.636978747893877,0.11587295743573958,0.8899425125304652,0.13068520904971512,0.8724703372648891,0.07854408125934692,0.8790453576338335,0.1007477887481258,0.14794194645471861,0.043915474258937784
oracle,4,0.9,23.666666666666668,10.560988720693754,4.0,0.0,4.0,0.0,1.0,0.8200084103858011,0.9,0.0,25469.02564102564,4726.995554628203,33477.80341880342,4897.115766623487,0.3524135307472613,0.16993101060670168,0.26442214065809977,0.1442559281287624,0.3084178357026805,0.14984799087511133,0.30604759199363946,0.0783154029225776,0.5516878329839013,0.08593964854617214,0.39157207451553955,0.08407387590675425,0.48246471413603303,0.11414720597121847,0.7168516738665079,0.08843697133126244,0.573619776663393,0.10737079895063155,0.7684870250135506,0.13691038099869682,0.8729978487334391,0.07891666130837768,0.814243267831828,0.10770156765030947,0.12974601879503633,0.03828236237418092
oracle,4,1.0,23.666666666666668,10.560988720693754,4.0,0.0,4.0,0.0,1.0,0.8200084103858011,1.0,0.0,28299.418803418805,5252.224141748011,33477.80341880342,4897.115766623487,0.4964537374493893,0.2321609227261692,0.2642145039190269,0.14430045177295525,0.38033412068420813,0.18019577188966643,0.27543761450949195,0.07048199825778693,0.5516878329839013,0.08593964854617214,0.36551729136149136,0.07944556994213717,0.4342100323445581,0.1027297333518196,0.7168516738665079,0.08843697133126244,0.5379622401175067,0.10230321142624822,0.691695345893166,0.12333734175904615,0.8729986145029303,0.07891776588761458,0.7688753283267273,0.10363058395003763,0.119915019789628,0.035270641085344584
oracle,8,0.1,23.666666666666668,10.560988720693754,8.0,0.0,8.0,0.0,1.0,0.8200084103858011,0.1,0.0,4594.615384615385,960.5888446062464,43912.13675213675,6577.321430892336,0.031643414433382824,0.004813043511708632,0.3403068326099002,0.16502768219589786,0.18597512352164153,0.08367525615456065,1.0,0.0,0.48082462736943854,0.04294002261684846,0.6482788634416413,0.0390704620342105,1.0,0.0,0.643546906791525,0.06538841403233747,0.7812104903905603,0.048455784535402814,1.0,0.0,0.8182592942609176,0.08200484117740106,0.8977782011694551,0.050805090666166175,0.23833156880659415,0.022634560179277348
oracle,8,0.25,23.666666666666668,10.560988720693754,8.0,0.0,8.0,0.0,1.0,0.8200084103858011,0.25,0.0,11487.31623931624,2401.472025760424,43912.13675213675,6577.321430892336,0.0596226757081994,0.01716519226294941,0.28339532662085587,0.15372915465252263,0.1715090011645276,0.08269268696672659,0.87578847769696,0.1534903196825001,0.6016183424909928,0.07299463265517463,0.7114790727287188,0.09939089273248142,0.9965526537778542,0.014272481186326317,0.7299786919164707,0.07037835590534587,0.8409718731843965,0.04938074796598561,1.0,0.0,0.8542969559160061,0.07777422158898961,0.9194976902083035,0.046376120186372605,0.29299966323773335,0.07805600465962319
oracle,8,0.5,23.666666666666668,10.560988720693754,8.0,0.0,8.0,0.0,1.0,0.8200084103858011,0.5,0.0,22975.128205128207,4802.9445180812345,43912.13675213675,6577.321430892336,0.13592347599282067,0.05339534269004158,0.25379514231229083,0.14906438385579968,0.19485930915255575,0.097531197472838,0.48494781443262874,0.12673931712938574,0.6096536251643041,0.08040595894654036,0.5368113470499055,0.10788458150158702,0.7836143927568221,0.17527741828824858,0.7586067943530294,0.08616337149892239,0.7670220127070059,0.12721143257409492,0.9864026567877276,0.046249607221479555,0.8800496666675456,0.07873727092904632,0.9290207376497235,0.059054681407651764,0.1952763908083187,0.055896829958640024
oracle,8,0.75,23.666666666666668,10.560988720693754,8.0,0.0,8.0,0.0,1.0,0.8200084103858011,0.75,0.0,34462.65811965812,7204.499887118433,43912.13675213675,6577.321430892336,0.25988910855533326,0.12149068130391731,0.24645396505756703,0.14965578976756577,0.25317153680645016,0.13113059671419616,0.32329923536654553,0.08449371122735932,0.6096536251643041,0.08040595894654036,0.4201130513920783,0.08985881673171867,0.5322880208664217,0.1310844531492498,0.7592257101257401,0.08678212147959748,0.6219219856156398,0.11742434772539113,0.8689654906936761,0.14572209262790592,0.8863709946489666,0.08152782734471044,0.8752347463799212,0.11267081427280597,0.14437469375665976,0.04073446166707663
