scene,seq,N_req,N,n_vox,method,param,n_cand,kept,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0006,-1,18,86240,oracle,0.1,86240,8624,0.1,8624,54151,0.03651949679021025,0.5467853912174854,0.2916524440038478,1.0,0.5738028845266016,0.7291928235335532,1.0,0.6563313696884637,0.7925121527003524,1.0,0.737474838876475,0.8489041940352443,0.32431281638832377
apartment_2,seq_0006,-1,18,86240,oracle,0.05,86240,4312,0.05,4312,54151,0.02841204561859091,0.5844970394059857,0.3064545425122883,1.0,0.4718657088511754,0.6411803821688017,1.0,0.6046056397850456,0.753587828428721,1.0,0.7248988938339089,0.8405117499063219,0.19523521098324248
apartment_2,seq_0006,-1,18,86240,oracle,0.02,86240,1724,0.019990723562152132,1724,54151,0.02159450799980817,0.6428962484981839,0.3322453782489961,1.0,0.2853132906132851,0.44395913851812474,1.0,0.49404443131244113,0.6613517255018294,1.0,0.7011874203615815,0.8243505823862095,0.08208495793145906
apartment_2,seq_0006,-1,18,86240,oracle,0.01,86240,862,0.009995361781076066,862,54151,0.01744794868068997,0.7046654975243799,0.36105672310253495,1.0,0.1710402393307603,0.2921167583933894,1.0,0.3665860279588558,0.5364990135401746,1.0,0.6489076840686229,0.7870758203606226,0.04240737878085227
apartment_2,seq_0006,-1,18,86240,oracle,0.005,86240,431,0.004997680890538033,431,54151,0.013911278515320596,0.7980874922277857,0.40599938537155317,1.0,0.0980960647079463,0.1786657249045625,1.0,0.2542704659193736,0.40544758539458187,1.0,0.5734150800539233,0.7288796037651698,0.021514807553400062
apartment_2,seq_0006,-1,18,86240,oracle,0.002,86240,172,0.00199443413729128,172,54151,0.010118109459288894,0.9492983880215724,0.47970824874043066,1.0,0.042344555040534804,0.08124867124937993,1.0,0.1318904544699082,0.2330445564746382,1.0,0.41417517682037264,0.5857480510322672,0.008828540451236513
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.05,699048,349524,0.5,349524,54151,1.2617212309975017,0.24968779312641567,0.7557045120619587,0.07051304059234845,0.8071688426806523,0.12969603327477183,0.15534555566999692,0.8347029602408081,0.2619414969956515,0.37175701811606643,0.875662499307492,0.5219313552043471,0.038895350638305064
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.05,699048,174762,0.25,174762,54151,1.2535243801084186,0.41153190515574206,0.8325281426320803,0.1022476282029274,0.682923676386401,0.1778652015069632,0.2082660990375482,0.7343539362153977,0.3245019708655113,0.4212185715430128,0.7917674650514303,0.5498944762126764,0.057583351492699934
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.05,699048,69904,0.09999885558645472,69904,54151,0.9876901418405998,0.5305525623498837,0.7591213520952418,0.17206454566262303,0.5601004598253033,0.26325604316759793,0.3003833829251545,0.6408561245406363,0.40904048147345096,0.5005149919890135,0.7402633377038282,0.5972265789527668,0.08541344973068926
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.05,699048,34952,0.04999942779322736,34952,54151,0.6344964463882665,0.6962009924213732,0.6653487194048199,0.27577821011673154,0.49544791416594336,0.35432860654671494,0.43974593728542,0.5538032538641946,0.4902278278953438,0.6467154955367361,0.6396188436039962,0.6431475936066675,0.11297791255173545
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.05,699048,13980,0.019998626703745664,13980,54151,0.2889069532229478,0.9212622338347476,0.6050845935288477,0.46917024320457795,0.382855348931691,0.42164070851460234,0.653934191702432,0.4584956879836014,0.5390470223709349,0.8600858369098713,0.5760373769644144,0.6899708669442551,0.128680701279361
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.05,699048,6990,0.009999313351872832,6990,54151,0.18497075001491736,1.1051266724172844,0.6450487112161009,0.6171673819742489,0.30507285184022453,0.4083122951660894,0.7507868383404864,0.3530498051744197,0.4802615469614963,0.9164520743919885,0.46523609905634244,0.6171676015697849,0.10478665437169922
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.05,699048,3495,0.004999656675936416,3495,54151,0.10902983422106588,1.30774278546874,0.7083863098449029,0.7888412017167382,0.24045723994016732,0.36856672552724656,0.8509298998569385,0.27428856346143193,0.414853377271861,0.9413447782546495,0.36605048844896676,0.5271240070308656,0.08375995449374289
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.05,699048,1398,0.0019998626703745664,1398,54151,0.027725155804578995,1.6430783892300305,0.8354017725173047,0.9570815450643777,0.14025595095196763,0.2446583347947189,0.977110157367668,0.17918413325700355,0.3028340415828812,0.994277539341917,0.25938579158279623,0.41143656392177885,0.048999797938977574
